dinner_price,lunch_price,name,price_lists,profile_url,rating,tables_max,tables_min,tables_range
$1484–$1484Mon - Sun,$1484–$1484Mon - Sun,Aloft Singapore Novena,,https://www.blissfulbrides.sg/detail/59/aloft-singapore-novena,5,26,10,10 - 26Mon - Sun
$2144–$2144Mon - Thu$2623–$2623Friday$2743–$2743Saturday$2623–$2623Sunday,$2144–$2144Mon - Thu$2264–$2264Fri - Sun,Amara Sanctuary Resort Sentosa,,https://www.blissfulbrides.sg/detail/358/amara-sanctuary-resort-sentosa,5,40,15,15 - 40Mon - Sun
$$1888 ++Mon - Fri$$2388 ++Sat - Sun$$2688 ++Sat - Sun$$2788 ++Sat - Sun,$$1888 ++Mon - Fri$$2188 ++Sat - Sun$$2388 ++Sat - Sun,Amara Singapore,"[""https://www.blissfulbrides.sg/banquet/amara-singapore/wedding-banquet-price-list/asin-love-always-wedding-packages-2025.pdf""]",https://www.blissfulbrides.sg/detail/492/amara-singapore,5,40,15,15 - 40Mon - Sun
$638–$1238Mon - Thu$988–$1588Fri - Sun,$638–$1238Mon - Thu$988–$1588Fri - Sun,Ban Heng Restaurant @ Orchid Country Club,"[""https://www.blissfulbrides.sg/banquet/ban-heng-restaurant-orchid-country-club-/wedding-banquet-price-list/wedding-package-ban-heng-group-of-restaurants.pdf""]",https://www.blissfulbrides.sg/detail/257/ban-heng-restaurant-orchid-country-club-,5,40,15,15 - 40Mon - Sun
$1808–$1928Mon - Sun,$1568–$1928Mon - Sun,Carlton Hotel Singapore,"[""https://www.blissfulbrides.sg/banquet/carlton-hotel-singapore/wedding-banquet-price-list/wedding-package-2025-september-december-.pdf"", ""https://www.blissfulbrides.sg/banquet/carlton-hotel-singapore/wedding-banquet-price-list/wedding-package-2026.pdf""]",https://www.blissfulbrides.sg/detail/1198/carlton-hotel-singapore,0,32,10,10 - 32Mon - Sun
"$$1,188++Mon - Thu$$1,388++Fri - Sun","$$1,188++Mon - Sun",Changi Cove Singapore,"[""https://www.blissfulbrides.sg/banquet/changi-cove-singapore/wedding-banquet-price-list/changi-cove-wedding-package-chinese-western-package-2024-_2025.pdf"", ""https://www.blissfulbrides.sg/banquet/changi-cove-singapore/wedding-banquet-price-list/changi-cove-wedding-package-indian-set-and-buffet-package-2024_2025.pdf"", ""https://www.blissfulbrides.sg/banquet/changi-cove-singapore/wedding-banquet-price-list/changi-cove-wedding-package-muslim-set-and-buffet-package-2024-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/changi-cove-singapore/wedding-banquet-price-list/changi-cove-intimate-wedding-package_2024_2025.pdf"", ""https://www.blissfulbrides.sg/banquet/changi-cove-singapore/wedding-banquet-price-list/changi-cove-solemnisation-package_2024_2025.pdf""]",https://www.blissfulbrides.sg/detail/1084/changi-cove-singapore,0,22,13,13 - 22Mon - Sun
$1078–$2037Mon - Sun,$1078–$2037Mon - Sun,Chui Huay Lim Teochew Cuisine,"[""https://www.blissfulbrides.sg/banquet/chui-huay-lim-teochew-cuisine/wedding-banquet-price-list/wedding-brochure-2025-2026.pdf"", ""https://www.blissfulbrides.sg/banquet/chui-huay-lim-teochew-cuisine/wedding-banquet-price-list/solemnisation-brochure-2025-2026.pdf""]",https://www.blissfulbrides.sg/detail/1249/chui-huay-lim-teochew-cuisine,0,40,10,10 - 40Mon - Sun
$1598++Mon - Sun,$1398++Mon - Sun,Concorde Hotel Singapore,,https://www.blissfulbrides.sg/detail/500/concorde-hotel-singapore,5,45,10,10 - 45Mon - Sun
$2599Mon - Fri$2839Saturday$2599Sunday,$2480Mon - Sun,Conrad Singapore Marina Bay,"[""https://www.blissfulbrides.sg/banquet/conrad-singapore-marina-bay/wedding-banquet-price-list/csmb-grand-ballroom-packages-until-jun-2026-.pdf"", ""https://www.blissfulbrides.sg/banquet/conrad-singapore-marina-bay/wedding-banquet-price-list/csmb-grand-ballroom-packages-jul-2026-jun-2027-.pdf"", ""https://www.blissfulbrides.sg/banquet/conrad-singapore-marina-bay/wedding-banquet-price-list/csmb-the-pavilion-packages-until-jun-2026-.pdf"", ""https://www.blissfulbrides.sg/banquet/conrad-singapore-marina-bay/wedding-banquet-price-list/csmb-the-pavilion-packages-jul-2026-jun-2027-.pdf""]",https://www.blissfulbrides.sg/detail/1387/conrad-singapore-marina-bay,0,40,10,10 - 40Mon - Sun
$1664–$1664Mon - Thu$1784–$1784Fri - Sun,$1364–$1364Mon - Thu$1664–$1664Fri - Sun,Copthorne King's Hotel,"[""https://www.blissfulbrides.sg/banquet/copthorne-king-s-hotel/wedding-banquet-price-list/wedding-packages-2024.pdf""]",https://www.blissfulbrides.sg/detail/53/copthorne-king-s-hotel,5,30,15,15 - 30Mon - Sun
$2024–$2254Mon - Thu$2024–$2254Friday$2144–$2254Sat - Sun,$2024–$2254Mon - Sun,Crowne Plaza Changi Airport,"[""https://www.blissfulbrides.sg/banquet/crowne-plaza-changi-airport/wedding-banquet-price-list/2025-wedding-package-chengal-ballroom-and-camilla-room-.pdf"", ""https://www.blissfulbrides.sg/banquet/crowne-plaza-changi-airport/wedding-banquet-price-list/2026-wedding-package-chengal-ballroom-and-camilla-room-.pdf""]",https://www.blissfulbrides.sg/detail/357/crowne-plaza-changi-airport,5,30,18,18 - 30Mon - Sun
$1460 - $2088Mon - Sun,$1460 - $2088Mon - Sun,Dusit Thani Laguna Singapore,"[""https://www.blissfulbrides.sg/banquet/dusit-thani-laguna-singapore/wedding-banquet-price-list/dusit-thani-laguna-singapore-property-fact-sheet_jun-2025.pdf""]",https://www.blissfulbrides.sg/detail/810/dusit-thani-laguna-singapore,5,38,3,3 - 38Mon - Sun
$2312–$2743Mon - Sun,$2192–$2384Mon - Sun,Fairmont Singapore & Swissôtel The Stamford,"[""https://www.blissfulbrides.sg/banquet/fairmont-singapore-swiss-tel-the-stamford/wedding-banquet-price-list/skai-suites-wedding-2024.pdf"", ""https://www.blissfulbrides.sg/banquet/fairmont-singapore-swiss-tel-the-stamford/wedding-banquet-price-list/rccc-wedding-2024.pdf"", ""https://www.blissfulbrides.sg/banquet/fairmont-singapore-swiss-tel-the-stamford/wedding-banquet-price-list/skai-suites-wedding-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/fairmont-singapore-swiss-tel-the-stamford/wedding-banquet-price-list/rccc-wedding-2025.pdf""]",https://www.blissfulbrides.sg/detail/390/fairmont-singapore-swiss--tel-the-stamford,5,150,12,12 - 150Mon - Sun
$158++ per personMon - Sun,$108++ per personMon - Sun,Forlino,"[""https://www.blissfulbrides.sg/banquet/forlino/wedding-banquet-price-list/forlino-wine-bar-list.pdf"", ""https://www.blissfulbrides.sg/banquet/forlino/wedding-banquet-price-list/forlino-wedding-kit.pdf"", ""https://www.blissfulbrides.sg/banquet/forlino/wedding-banquet-price-list/forlino-set-menu.pdf"", ""https://www.blissfulbrides.sg/banquet/forlino/wedding-banquet-price-list/forlino-venue-kit.pdf""]",https://www.blissfulbrides.sg/detail/108/forlino,5,9,5,5 - 9Mon - Sun
$1724–$1844Mon - Thu$1664–$1904Fri - Sun,$1604–$1844Mon - Thu$1664–$1904Fri - Sun,"Four Points by Sheraton Singapore, Riverview","[""https://www.blissfulbrides.sg/banquet/four-points-by-sheraton-singapore-riverview/wedding-banquet-price-list/wedding-brochure-2025-26.pdf""]",https://www.blissfulbrides.sg/detail/190/four-points-by-sheraton-singapore--riverview,5,25,6,6 - 25Mon - Sun
$947-$1541Mon - Thu$1022-$1616Fri - Sun,$947-$1541Mon - Thu$1022-$1616Fri - Sun,Fu Lin Men,"[""https://www.blissfulbrides.sg/banquet/fu-lin-men/wedding-banquet-price-list/queens-nsrcc-promo-1-.pdf"", ""https://www.blissfulbrides.sg/banquet/fu-lin-men/wedding-banquet-price-list/hotel-re-src-csc-promo-1-.pdf""]",https://www.blissfulbrides.sg/detail/612/fu-lin-men,4.8,36,15,15 - 36Mon - Sun
$1544–$1544Mon - Fri$$1568–$1568Saturday$$1544–$1544Sunday,$1448–$1448Mon - Sun,"Furama City Centre, Singapore",,https://www.blissfulbrides.sg/detail/392/furama-city-centre--singapore,5,50,14,14 - 50Mon - Sun
$1506 - $1661 ++Sun - Fri$1530 - 1744 ++Saturday$1506 - 1661 ++Sunday,$1388 - $1578 ++Mon - Sun,Furama RiverFront,"[""https://www.blissfulbrides.sg/banquet/furama-riverfront/wedding-banquet-price-list/wedding-show-frf_2022.pdf"", ""https://www.blissfulbrides.sg/banquet/furama-riverfront/wedding-banquet-price-list/frf_wedding-show_limited-time-offer2.pdf"", ""https://www.blissfulbrides.sg/banquet/furama-riverfront/wedding-banquet-price-list/promotion-chinese-wedding-package-2021-frf-.pdf"", ""https://www.blissfulbrides.sg/banquet/furama-riverfront/wedding-banquet-price-list/furama-riverfront-solemnisation-package-2021-2022.pdf""]",https://www.blissfulbrides.sg/detail/402/furama-riverfront,5,55,10,10 - 55Mon - Sun
$1424–$1424Mon - Thu$1544–$1544Fri - Sun,$1424–$1424Mon - Thu$1544–$1544Fri - Sun,Genting Hotel Jurong,"[""https://www.blissfulbrides.sg/banquet/genting-hotel-jurong/wedding-banquet-price-list/wedding-packages-2023-2024.pdf""]",https://www.blissfulbrides.sg/detail/520/genting-hotel-jurong,5,33,15,15 - 33Mon - Sun
$2168–$2288Mon - Thu$2288–$2743Fri - Sun,$2168–$2288Mon - Sun,Grand Copthorne Waterfront Hotel Singapore,"[""https://www.blissfulbrides.sg/banquet/grand-copthorne-waterfront-hotel/wedding-banquet-price-list/intimate-wedding-2024.pdf"", ""https://www.blissfulbrides.sg/banquet/grand-copthorne-waterfront-hotel/wedding-banquet-price-list/wedding-package-2024.pdf"", ""https://www.blissfulbrides.sg/banquet/grand-copthorne-waterfront-hotel-singapore/wedding-banquet-price-list/grand-copthorne-waterfront-hotel-intimate-wedding-packages-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/grand-copthorne-waterfront-hotel-singapore/wedding-banquet-price-list/grand-copthorne-waterfront-hotel-singapore-main-wedding-packages-2025.pdf""]",https://www.blissfulbrides.sg/detail/54/grand-copthorne-waterfront-hotel-singapore,5,65,10,10 - 65Mon - Sun
$1894–$2134Mon - Sun,$1894–$2134Mon - Sun,Grand Park City Hall,"[""https://www.blissfulbrides.sg/banquet/grand-park-city-hall/wedding-banquet-price-list/gpch-suite-solemnisation-package-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/grand-park-city-hall/wedding-banquet-price-list/grand-park-city-hall-wedding-package-2025.pdf""]",https://www.blissfulbrides.sg/detail/1170/grand-park-city-hall,0,9,3,3 - 9Mon - Sun
$2024–$2024Mon - Sun,$2384–$2384Mon - Sun,Hilton Singapore Orchard,"[""https://www.blissfulbrides.sg/banquet/hilton-singapore-orchard/wedding-banquet-price-list/hilton-singapore-orchard-2025-2026-the-manor-weddings-packages.pdf"", ""https://www.blissfulbrides.sg/banquet/hilton-singapore-orchard/wedding-banquet-price-list/hilton-singapore-orchard-2025-2026-weddings-packages.pdf"", ""https://www.blissfulbrides.sg/banquet/hilton-singapore-orchard/wedding-banquet-price-list/hilton-singapore-orchard-solemnisation-2025-2026.pdf""]",https://www.blissfulbrides.sg/detail/1196/hilton-singapore-orchard,0,80,12,12 - 80Mon - Sun
