location,name,price_lists,profile_url,source,vendor_name,venue_id
"11 Laguna Golf Green, Singapore 488047",Albatross & Birdie,"[""https://www.blissfulbrides.sg/banquet/dusit-thani-laguna-singapore/wedding-banquet-price-list/dusit-thani-laguna-singapore-property-fact-sheet_jun-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/dusit-thani-laguna-singapore/wedding-banquet-price-list/timeless-symphonies-wedding-brochure.pdf""]",https://www.blissfulbrides.sg/detail/810/Dusit-Thani-Laguna-Singapore,wedding-venues-booking,Dusit Thani Laguna Singapore,203
25 Marine Parade Singapore 449536,Alfresco,"[""https://www.blissfulbrides.sg/banquet/village-hotel-katong/wedding-banquet-price-list/impian-selamanya.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-katong/wedding-banquet-price-list/timeless-union-a5-brochure-western.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-katong/wedding-banquet-price-list/eternal-vows-a5-brochure-chinese.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-katong/wedding-banquet-price-list/eternal-vows-a5-brochure-buffet.pdf""]",https://www.blissfulbrides.sg/detail/377/Village-Hotel-Katong,wedding-venues-booking,Village Hotel Katong,235
,Ballroom,"[""https://www.blissfulbrides.sg/banquet/the-ritz-carlton-bali/wedding-banquet-price-list/wedding-reception-package-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/the-ritz-carlton-bali/wedding-banquet-price-list/majestic-wedding-package-2025.pdf""]",https://www.blissfulbrides.sg/detail/1369/The-Ritz-Carlton---Bali,wedding-venues-booking,The Ritz Carlton - Bali,225
,Beach Wedding,"[""https://www.blissfulbrides.sg/banquet/the-ritz-carlton-bali/wedding-banquet-price-list/wedding-reception-package-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/the-ritz-carlton-bali/wedding-banquet-price-list/majestic-wedding-package-2025.pdf""]",https://www.blissfulbrides.sg/detail/1369/The-Ritz-Carlton---Bali,wedding-venues-booking,The Ritz Carlton - Bali,220
,"Bird Paradise, Crimson Restaurant",,https://www.blissfulbrides.sg/detail/1385/Mandai-Wildlife-Reserve,wedding-venues-booking,Mandai Wildlife Reserve,239
,Chapel Lawn,"[""https://www.blissfulbrides.sg/banquet/the-ritz-carlton-bali/wedding-banquet-price-list/wedding-reception-package-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/the-ritz-carlton-bali/wedding-banquet-price-list/majestic-wedding-package-2025.pdf""]",https://www.blissfulbrides.sg/detail/1369/The-Ritz-Carlton---Bali,wedding-venues-booking,The Ritz Carlton - Bali,222
,Cliff Lawn,"[""https://www.blissfulbrides.sg/banquet/the-ritz-carlton-bali/wedding-banquet-price-list/wedding-reception-package-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/the-ritz-carlton-bali/wedding-banquet-price-list/majestic-wedding-package-2025.pdf""]",https://www.blissfulbrides.sg/detail/1369/The-Ritz-Carlton---Bali,wedding-venues-booking,The Ritz Carlton - Bali,221
,Creek,,https://www.blissfulbrides.sg/detail/177/Village-Hotel-Changi,wedding-venues-booking,Village Hotel Changi,230
"1 Netheravon Road, Singapore 508502",Cube,"[""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/impian-selamanya.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/timeless-union-a5-brochure-western.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/eternal-vows-a5-brochure-chinese.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/eternal-vows-a5-brochure-buffet.pdf""]",https://www.blissfulbrides.sg/detail/177/Village-Hotel-Changi,wedding-venues-booking,Village Hotel Changi,233
,Diên Hồng Ballroom,,https://www.blissfulbrides.sg/detail/1346/Legacy-Y--n-T---,wedding-venues-booking,Legacy Yên Tử,211
"1 Hill Street, Singapore 179949",El Chido,"[""https://www.blissfulbrides.sg/banquet//wedding-banquet-price-list/wedding-brochure-pullman-singapore-hill-street.pdf""]",https://www.blissfulbrides.sg/detail/1357/Pullman-Singapore-Hill-Street,wedding-venues-booking,Pullman Singapore Hill Street,218
25 Marine Parade Singapore 449536,Galangal,"[""https://www.blissfulbrides.sg/banquet/village-hotel-katong/wedding-banquet-price-list/impian-selamanya.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-katong/wedding-banquet-price-list/timeless-union-a5-brochure-western.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-katong/wedding-banquet-price-list/eternal-vows-a5-brochure-chinese.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-katong/wedding-banquet-price-list/eternal-vows-a5-brochure-buffet.pdf""]",https://www.blissfulbrides.sg/detail/377/Village-Hotel-Katong,wedding-venues-booking,Village Hotel Katong,236
,Indoor Bar,,https://www.blissfulbrides.sg/detail/1356/Tanglin-Gin-Jungle,wedding-venues-booking,Tanglin Gin Jungle,213
"1 Netheravon Road, Singapore 508502",Infinity,"[""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/impian-selamanya.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/timeless-union-a5-brochure-western.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/eternal-vows-a5-brochure-chinese.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/eternal-vows-a5-brochure-buffet.pdf""]",https://www.blissfulbrides.sg/detail/177/Village-Hotel-Changi,wedding-venues-booking,Village Hotel Changi,228
