vendor_id,name,source_category,category,email,phone,website,ranking_score,seo_description,social_description,promo_available,trusted_partner,pricing_from,created_time
rectOx6JB5vnfcb4u,Linus Lee The Wedding Master,All Vendors,"Emcees & Entertainment, Live Music",enquiry@masterpiece.sg,+65 9668 4820,https://www.masterpiece.sg/weddingmaster,1470,"facebook.com/masterpiecewedding · +65 9668 4820 · enquiry@masterpiece.sg · “We first met Linus several years ago at my sibling's wedding, where we witnessed his exceptional skills as an emcee, singer, and event organizer. When we began planning our own wedding, Linus was our immediate choice due to his expertise and capabilities. We are grateful to have Linus as our wedding Showmaster. His professionalism, talent, steadiness, sociability, and sincerity bring us peace of mind and ensure a smooth and happy wedding. He plays a crucial role in making our wedding meaningful, fun, and enjoyable. Highly recommend 👍🏻👍🏻👍🏻”","facebook.com/masterpiecewedding · +65 9668 4820 · enquiry@masterpiece.sg · “We first met Linus several years ago at my sibling's wedding, where we witnessed his exceptional skills as an emcee, singer, and event organizer. When we began planning our own wedding, Linus was our immediate choice due to his expertise and capabilities. We are grateful to have Linus as our wedding Showmaster. His professionalism, talent, steadiness, sociability, and sincerity bring us peace of mind and ensure a smooth and happy wedding. He plays a crucial role in making our wedding meaningful, fun, and enjoyable. Highly recommend 👍🏻👍🏻👍🏻”",,,,2024-04-14T02:58:12Z
recGfOVGM8yjU515I,GrizzyPix Photography,All Vendors,Photographer & Videographer,grismond@grizzypixphotography.com,65 97612777,http://www.grizzypixphotography.com/,1444,"Instagram: @grizzypix · facebook.com/Grizzypix · 65 97612777 · grismond@grizzypixphotography.com · “We found Gris's profile through IG and it was such kind of luck meet with Grismond. He is incredible professional photographer.He was awazing and very paient.If your are looking for prewedding , or others , we highly recommend to Gris. You can see how he passionate on his work.From the first meet till to edit , we satisfied a lot. Belive me , you will never regret if you choose GrizzyPix on your special day.”","Instagram: @grizzypix · facebook.com/Grizzypix · 65 97612777 · grismond@grizzypixphotography.com · “We found Gris's profile through IG and it was such kind of luck meet with Grismond. He is incredible professional photographer.He was awazing and very paient.If your are looking for prewedding , or others , we highly recommend to Gris. You can see how he passionate on his work.From the first meet till to edit , we satisfied a lot. Belive me , you will never regret if you choose GrizzyPix on your special day.”",,,,2023-09-20T08:59:46Z
recSb11mRgnlIsvTW,JKLah Emceeing,All Vendors,Emcees & Entertainment,,+65 9695 7796,https://www.instagram.com/jk.lah/profilecard/?igsh=MW94bWp0dWp3dzJvcw==,1435,"+65 9695 7796 · “Thank you JK⁩ for the amazing hosting at my wedding night!!! Full of good reviews from the guests and many of them say you are super engaging and able to keep the mood of the night going. If they hold a wedding next time they would definitely engage you, provided you are available haha. Once again thanks a lot for being part of our special day!! 🥰 P.S pls engage him to sing for your wedding night as it’s our biggest regret missing out on his amazing vocals”","+65 9695 7796 · “Thank you JK⁩ for the amazing hosting at my wedding night!!! Full of good reviews from the guests and many of them say you are super engaging and able to keep the mood of the night going. If they hold a wedding next time they would definitely engage you, provided you are available haha. Once again thanks a lot for being part of our special day!! 🥰 P.S pls engage him to sing for your wedding night as it’s our biggest regret missing out on his amazing vocals”",,,,2025-10-20T09:34:04Z
rec7wF5Skv1llcQui,Your Wedding Matters,All Vendors,Florists & Wedding Styling,,81298141,https://www.your-wedding-matters.com,1420,"Instagram: @yourweddingmatters.sg · 81298141 · “We engaged Lydia for our wedding signage, photo gallery and photo table set! Lydia has been super prompt and friendly in her replies and made superb recommendations throughout the whole process! She also gave us regular updates in the days leading up to the wedding. Setup and teardown were very efficient too, really one of the best decisions we have made to engage YWM. Thanks so much Lydia! :)”","Instagram: @yourweddingmatters.sg · 81298141 · “We engaged Lydia for our wedding signage, photo gallery and photo table set! Lydia has been super prompt and friendly in her replies and made superb recommendations throughout the whole process! She also gave us regular updates in the days leading up to the wedding. Setup and teardown were very efficient too, really one of the best decisions we have made to engage YWM. Thanks so much Lydia! :)”",,,,2024-08-01T13:24:23Z
rec0ZguMg1igKxv3c,Root For You Florist,All Vendors,Florists & Wedding Styling,,+65 9101 3295,https://www.rootforyou.sg/,1400,Instagram: @rootforyou.sg · facebook.com/rootforyou.sg · +65 9101 3295 · “Thank you for helping me with my proposal plans and wedding boutique 🙏🙏🙏”,Instagram: @rootforyou.sg · facebook.com/rootforyou.sg · +65 9101 3295 · “Thank you for helping me with my proposal plans and wedding boutique 🙏🙏🙏”,,,,2024-03-20T13:45:15Z
recyepqoBp1b0Q0eF,Bunnie Bash - Gelato & Waffles Live Station,All Vendors,Food Catering,,+65 9668 4132,,1397,Instagram: @bunniebash · facebook.com/BunnieBash · +65 9668 4132 · “V nice setup and amazing taste for the ice creams and waffles! Perfect service from the ladies too! Will definitely go for them again!”,Instagram: @bunniebash · facebook.com/BunnieBash · +65 9668 4132 · “V nice setup and amazing taste for the ice creams and waffles! Perfect service from the ladies too! Will definitely go for them again!”,,,,2025-09-09T03:13:20Z
recDCSBX2pL04lrIo,Revit: Anti-Hangover Gummies,All Vendors,Wedding Favours,hello@revit.com.sg,89187983,https://revit.com.sg/,1389,"Instagram: @revit_sg · 89187983 · hello@revit.com.sg · “Performance:good Suitability:good Second time buying this gummy because I really like the chewy texture and honey taste. It’s so good I sometimes want to eat it without having drinks. Used this a few times and found that my hangovers are less severe (gotta keep hydrating). Buying second time cos first purchase running low. Delivery is also super fast, within 2 days of ordering.”","Instagram: @revit_sg · 89187983 · hello@revit.com.sg · “Performance:good Suitability:good Second time buying this gummy because I really like the chewy texture and honey taste. It’s so good I sometimes want to eat it without having drinks. Used this a few times and found that my hangovers are less severe (gotta keep hydrating). Buying second time cos first purchase running low. Delivery is also super fast, within 2 days of ordering.”",,,,2025-01-27T06:33:36Z
recBuB27GhlCaVOII,Little Snap Productions,All Vendors,Photographer & Videographer,info@littlesnap.com.sg,+65 8290 8899,https://www.littlesnap.com.sg/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=15633779034450193484,1387,Instagram: @littlesnapproductions · facebook.com/LittleSnapProductions · +65 8290 8899 · info@littlesnap.com.sg · “Andy and Little Snap were first-class photographers for our wedding. We highly recommend them as photographers for your next wedding (or event)! Andy was a dream to work with on the day - he was really easy to work with and kept us both relaxed and ensured we had fun throughout the pre-wedding shoot. The photos came back and were exactly what we’d wanted. Andy’s style really captured the night authentically. All the photos are great quality and will be amazing to look back on and remember the fun we had with our friends and family on the night.”,Instagram: @littlesnapproductions · facebook.com/LittleSnapProductions · +65 8290 8899 · info@littlesnap.com.sg · “Andy and Little Snap were first-class photographers for our wedding. We highly recommend them as photographers for your next wedding (or event)! Andy was a dream to work with on the day - he was really easy to work with and kept us both relaxed and ensured we had fun throughout the pre-wedding shoot. The photos came back and were exactly what we’d wanted. Andy’s style really captured the night authentically. All the photos are great quality and will be amazing to look back on and remember the fun we had with our friends and family on the night.”,,,,2023-09-20T08:59:48Z
recVkIsV2Lq2efUUN,Bang Photography,All Vendors,Photographer & Videographer,,+65 9664 0048,https://www.bang-photography.com/,1382,Instagram: @bangstudio.sg · +65 9664 0048 · “We had the best time using James for our pre-wedding shoot! James is extremely professional and really understood the vintage cinematic aesthetic we were going for! We did a three hour shoot and he made it super fun. We can’t recommend him enough for all couple/wedding shots! We’ll be having our wedding in a few months and he’ll be shooting that as well! Book him before he’s all booked up!!”,Instagram: @bangstudio.sg · +65 9664 0048 · “We had the best time using James for our pre-wedding shoot! James is extremely professional and really understood the vintage cinematic aesthetic we were going for! We did a three hour shoot and he made it super fun. We can’t recommend him enough for all couple/wedding shots! We’ll be having our wedding in a few months and he’ll be shooting that as well! Book him before he’s all booked up!!”,,,,2025-03-27T05:47:10Z
reccmQI8vcmrwtG9p,AMusephotographer,All Vendors,Photographer & Videographer,amusephotographer@gmail.com,9363 6676,https://amusephotographer.com/,1374,Instagram: @amusephotographer · facebook.com/amusephotographer · 9363 6676 · amusephotographer@gmail.com · “Charles is one of the most friendly and professional photographers that we have meet on our ROM day! You will never go wrong with AMusephotographer!”,Instagram: @amusephotographer · facebook.com/amusephotographer · 9363 6676 · amusephotographer@gmail.com · “Charles is one of the most friendly and professional photographers that we have meet on our ROM day! You will never go wrong with AMusephotographer!”,,,,2023-09-20T08:59:46Z
