recordId,name,url,location,overallRating,venueRating,serviceRating,foodRating,reviews,tags,price,capacity,rooms
rechBrz17hfP3SjHA,Mandarin Oriental Singapore,https://www.bridely.sg/venue/mandarin-oriental-singapore/r/rechBrz17hfP3SjHA,Central Area,4.6,4.6,4.5,4.6,141,"Hotel, Chinese, Ballroom, Garden & Greenery, Glasshouse, Indoor",From $250/pax,200-350 pax,"[{""name"": ""The Oriental Ballroom"", ""capacity"": ""200-350 pax"", ""price"": ""From $250/pax""}, {""name"": ""Atrium Suites"", ""capacity"": ""130-180 pax"", ""price"": ""From $250/pax""}, {""name"": ""Garden Suite"", ""capacity"": ""100-130 pax"", ""price"": ""From $250/pax""}]"
rec4OTGIpBfuMuvQw,The Blue Ginger,https://www.bridely.sg/venue/the-blue-ginger/r/rec4OTGIpBfuMuvQw,Chinatown,4.9,5,5,4.9,59,"Restaurant, Michelin, Peranakan",From $130/pax,1-130 pax,"[{""name"": ""Entire Restaurant"", ""capacity"": ""1-130 pax"", ""price"": ""From $130/pax""}, {""name"": ""Level 2"", ""capacity"": ""1-50 pax"", ""price"": ""From $130/pax""}, {""name"": ""Level 3"", ""capacity"": ""1-50 pax"", ""price"": ""From $130/pax""}, {""name"": ""Level 1"", ""capacity"": ""1-30 pax"", ""price"": ""From $130/pax""}]"
recqSc5XwBLCNysgh,The Fullerton Hotel Singapore,https://www.bridely.sg/venue/the-fullerton-hotel-singapore/r/recqSc5XwBLCNysgh,Central Area,4.4,4.5,4.4,4.1,139,"Hotel, Chinese, Western, Ballroom, Colonial/Historical, Garden & Greenery, Glasshouse, Indoor, Outdoor, Rooftop, Waterfront",From $225/pax,100-120 pax,"[{""name"": ""Jade Restaurant"", ""capacity"": ""100-120 pax"", ""price"": ""From $225/pax""}, {""name"": ""The Lighthouse"", ""capacity"": ""30-40 pax"", ""price"": ""From $261/pax""}, {""name"": ""The Ballroom"", ""capacity"": ""200-480 pax"", ""price"": ""From $273/pax""}, {""name"": ""The Straits Room"", ""capacity"": ""100-140 pax"", ""price"": ""From $273/pax""}]"
recVzTQWhOosRg4TC,Conrad Singapore Marina Bay,https://www.bridely.sg/venue/conrad-singapore-marina-bay/r/recVzTQWhOosRg4TC,Central Area,4.4,4.4,4.1,4.3,120,"Hotel, Chinese, Fusion, Ballroom, Glasshouse, Indoor",From $267/pax,170-408 pax,"[{""name"": ""Grand Ballroom"", ""capacity"": ""170-408 pax"", ""price"": ""From $267/pax""}, {""name"": ""The Pavilion"", ""capacity"": ""110-140 pax"", ""price"": ""From $279/pax""}, {""name"": ""Half Grand Ballroom"", ""capacity"": ""120-160 pax"", ""price"": ""From $291/pax""}]"
rec7mXks7AULWV7XZ,Grand Hyatt Singapore,https://www.bridely.sg/venue/grand-hyatt-singapore/r/rec7mXks7AULWV7XZ,Central Area,4.4,4.5,4.3,4.4,112,"Hotel, Chinese, Ballroom, Indoor",From $239/pax,300-360 pax,"[{""name"": ""Grand Ballroom"", ""capacity"": ""300-360 pax"", ""price"": ""From $239/pax""}, {""name"": ""Grand Salon"", ""capacity"": ""260-320 pax"", ""price"": ""From $239/pax""}, {""name"": ""Grand Residence"", ""capacity"": ""150-260 pax"", ""price"": ""From $239/pax""}, {""name"": ""The Gallery"", ""capacity"": ""220-260 pax"", ""price"": ""From $239/pax""}]"
rechMQnbE4MfnkVXo,PARKROYAL COLLECTION Marina Bay,https://www.bridely.sg/venue/parkroyal-collection-marina-bay/r/rechMQnbE4MfnkVXo,Central Area,4.4,4.4,4.1,4.3,120,"Hotel, Chinese, Ballroom",From $214/pax,200-500 pax,"[{""name"": ""Garden Ballroom"", ""capacity"": ""200-500 pax"", ""price"": ""From $214/pax""}, {""name"": ""Atrium Ballroom"", ""capacity"": ""150-250 pax"", ""price"": ""From $214/pax""}]"
recNs8QOEuCPsy834,St Regis Singapore,https://www.bridely.sg/venue/st-regis-singapore/r/recNs8QOEuCPsy834,Central Area,4.6,4.6,4.4,4.6,91,"Hotel, Chinese, Western, Ballroom, Colonial/Historical, Indoor",From $286/pax,250-420 pax,"[{""name"": ""John Jacob Ballroom"", ""capacity"": ""250-420 pax"", ""price"": ""From $286/pax""}, {""name"": ""Caroline\u2019s Mansion"", ""capacity"": ""120-160 pax"", ""price"": ""From $322/pax""}]"
recndJaJtwsBTrj1l,Capella Singapore,https://www.bridely.sg/venue/capella-singapore/r/recndJaJtwsBTrj1l,Southern Islands,4.6,4.6,4.5,4.4,61,"Hotel, Chinese, Western",From $288/pax,30-180 pax,"[{""name"": ""Sentosa Room"", ""capacity"": ""30-180 pax"", ""price"": ""From $288/pax""}, {""name"": ""Grand Ballroom"", ""capacity"": ""1-400 pax"", ""price"": ""From $298/pax""}, {""name"": ""Garden of Dreams"", ""capacity"": ""1-80 pax"", ""price"": ""From $9,888""}, {""name"": ""Horizon's Verge"", ""capacity"": ""1-80 pax"", ""price"": ""From $8,888""}]"
recssYSWy0BAMkBKH,The Masons Table,https://www.bridely.sg/venue/the-masons-table/r/recssYSWy0BAMkBKH,Central Area,4.7,4.9,4.8,4.8,40,"Event Hall, Western",From $78/pax,1-300 pax,"[{""name"": ""Whole Venue"", ""capacity"": ""1-300 pax"", ""price"": ""From $78/pax""}, {""name"": ""Main Room"", ""capacity"": ""1-200 pax"", ""price"": ""From $78/pax""}, {""name"": ""Bar Room"", ""capacity"": ""1-70 pax"", ""price"": ""From $78/pax""}]"
recQpPPBl9LBtl9ft,CHIJMES,https://www.bridely.sg/venue/chijmes/r/recQpPPBl9LBtl9ft,Central Area,4.7,4.6,4.7,4,57,"Event Hall, Colonial/Historical, Indoor",From $78/pax,50-79 pax,"[{""name"": ""Alcove"", ""capacity"": ""50-79 pax"", ""price"": ""From $78/pax""}, {""name"": ""CHIJMES Hall"", ""capacity"": ""200-308 pax"", ""price"": ""From $144/pax""}]"
