address,area,capacity_seated,capacity_standing,catering_options,city,cuisine,is_supervenue,lat,lng,min_attendees,mrt_distance,mrt_station,opening_hours,postcode,price,price_method,price_per_person,price_per_person_type,price_type,rating,response_rate,response_time_min,reviews,room_features,room_id,room_name,space_type,url,venue_id,venue_name,venue_part,venue_type,venue_url
"2 Finlayson Green, Raffles Place 2",Raffles Place,90,120,"[1, 16, 19, 8, 1000]",Singapore,American,False,1.2819224,103.8516356,,250 m,Raffles Place MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""07:00"", ""closes"": ""22:00""}]",049247,S$500,hire fee,2800,per morning,per session,4.4,1,28,85,"[3, 5, 6, 7, 8, 9, 10, 11, 12, 16, 17]",13546,Ascott Raffles Place Venue,Event Venue,https://www.tagvenue.com/sg/rooms/singapore/13546/raffles-place-event-venue/ascott-raffles-place-venue,6190,Raffles Place Event Venue,Whole venue,Event Venue,https://www.tagvenue.com/sg/venues/singapore/6190/raffles-place-event-venue
577a Balestier Road ,Balestier,40,40,"[7, 16, 1000, 1001]",Singapore,,True,1.3264576,103.8440056,,650 m,Novena MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""00:00"", ""closes"": ""23:59""}]",329892,S$65,hire fee,-1,NULL,per hour,5,0.9145,0,8,"[3, 5, 6, 7, 8, 12, 16, 17, 18, 19, 21, 24, 27, 28]",82654,Entire Venue,Event Venue,https://www.tagvenue.com/sg/rooms/singapore/82654/kei-studio-pet-friendly-event-space/entire-venue,49825,KEI Studio | Pet Friendly Event Space,Whole venue,Event Venue,https://www.tagvenue.com/sg/venues/singapore/49825/kei-studio-pet-friendly-event-space
76 Nanyang Drive ,Western Water Catchment,100,100,"[1, 2, 3, 9, 14, 15, 20, 21, 8, 1000, 1001]",Singapore,Asian,False,1.347429436306,103.67948062618,,,,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""17:00"", ""closes"": ""20:00""}]",637331,S$28,per person,2800,per evening,per evening,4.5,0.9883,12,3,"[3, 5, 6, 7, 8, 9, 10, 12, 16, 17, 18, 21]",29206,Event Venue NTU Campus,Dining Room,https://www.tagvenue.com/sg/rooms/singapore/29206/event-venue-ntu-campus/event-venue-ntu-campus,13964,Event Venue NTU Campus,Semi-private area,Restaurant,https://www.tagvenue.com/sg/venues/singapore/13964/event-venue-ntu-campus
Pasir Panjang Road 102E,Pasir Panjang 2,90,100,"[1, 2, 7, 20, 8, 1001]",Singapore,,True,1.2760918,103.7954127,,450 m,Pasir Panjang MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Wednesday"", ""Thursday"", ""Friday""], ""opens"": ""10:30"", ""closes"": ""21:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Saturday"", ""Sunday""], ""opens"": ""09:00"", ""closes"": ""21:00""}]",118529,S$400,hire fee,-1,NULL,per hour,4.7,0.9748,34,30,"[3, 5, 6, 7, 8, 10, 12, 17, 19]",32524,Entire Venue,Cafe,https://www.tagvenue.com/sg/rooms/singapore/32524/knots-cafe-and-living-pasir-panjang/entire-venue,15087,Knots Cafe and Living (Pasir Panjang),Whole venue,Cafe,https://www.tagvenue.com/sg/venues/singapore/15087/knots-cafe-and-living-pasir-panjang
39 MacTaggart Road ,Joo Seng,152,180,"[1, 2, 9, 10, 8, 1000, 1001]",Singapore,,False,1.3339436,103.8832766,,550 m,Tai Seng MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""00:00"", ""closes"": ""23:59""}]",368084,S$78,per person,-1,NULL,,4.9,0.9819,327,24,"[3, 5, 6, 7, 8, 9, 10, 11, 12, 16, 17, 18, 24, 25, 27]",39302,The Outset,Event Venue,https://www.tagvenue.com/sg/rooms/singapore/39302/the-outset/the-outset?event-offer=wedding,18722,The Outset,Whole venue,Event Venue,https://www.tagvenue.com/sg/venues/singapore/18722/the-outset
Duxton Hill 10A,Tanjong Pagar,65,65,"[7, 16, 19, 8]",Singapore,,True,1.2791609645404,103.84283812209,,350 m,Outram Park MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Saturday"", ""Sunday""], ""opens"": ""09:00"", ""closes"": ""22:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Friday""], ""opens"": ""09:00"", ""closes"": ""17:00""}]",089594,S$1300,hire fee,-1,NULL,per hour,4.9,1,7,51,"[3, 5, 6, 7, 9, 12, 17, 18, 19, 20, 27]",24834,Weddings and ROM,Event Venue,https://www.tagvenue.com/sg/rooms/singapore/24834/the-secret-patio/full-venue?event-offer=wedding,11630,The Secret Patio,Whole venue,Event Venue,https://www.tagvenue.com/sg/venues/singapore/11630/the-secret-patio
Tampines Street 92 1/A,Tampines West,120,150,"[1, 2, 9, 10, 14, 16, 20, 21, 8, 1000, 1001]",Singapore,Asian,False,1.3440858099799,103.94183019511,,400 m,Tampines West MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""11:00"", ""closes"": ""23:00""}]",528882,S$2500,minimum spend,-1,NULL,per session,5,0.997,104,8,"[3, 5, 7, 8, 9, 12, 16, 17, 18, 24, 25, 26]",27689,Main Hall,Hall,https://www.tagvenue.com/sg/rooms/singapore/27689/7th-heaven-event-space/main-hall,13227,7th Heaven Event Space,Private space,Restaurant,https://www.tagvenue.com/sg/venues/singapore/13227/7th-heaven-event-space
1 Unity Street ,Singapore City Centre,90,110,"[1, 7, 15, 20, 8, 1001]",Singapore,,False,1.2913643,103.8423677,,250 m,Fort Canning MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""11:00"", ""closes"": ""22:00""}]",237983,S$2500,minimum spend,4500,per session,per session,4.5,0.9381,312,11,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 19, 20, 28]",68464,Entrepôt,Restaurant,https://www.tagvenue.com/sg/rooms/singapore/68464/the-robertson-house-by-the-crest-collection/entrepot,36314,The Robertson House by The Crest Collection,Private space,Hotel,https://www.tagvenue.com/sg/venues/singapore/36314/the-robertson-house-by-the-crest-collection-2
Coleman Street 23A,Dhoby Ghaut,150,350,"[1, 2, 9, 14, 20, 21, 8, 1000, 1001]",Singapore,European,False,1.2925592325231,103.84915494114,,400 m,City Hall MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""10:00"", ""closes"": ""23:30""}]",179806,S$78,per person,-1,NULL,per session,4.9,0.985,54,29,"[3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 25, 26, 27]",24918,Whole Venue,Event Venue,https://www.tagvenue.com/sg/rooms/singapore/24918/the-masons-table/whole-venue,11594,The Masons Table,Whole venue,Event Venue,https://www.tagvenue.com/sg/venues/singapore/11594/the-masons-table
131 Neil Road ,Everton Park,25,30,"[16, 18, 1000, 1001]",Singapore,,True,1.2773446,103.8380588,,300 m,Outram Park MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday""], ""opens"": ""08:00"", ""closes"": ""21:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Saturday"", ""Sunday""], ""opens"": ""09:00"", ""closes"": ""20:00""}]",088860,S$100,hire fee,-1,NULL,per hour,4.7,1,0,38,"[5, 6, 7, 8, 12, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",78233,RED PANDA STUDIO (A+B),Photo / Film Studio,https://www.tagvenue.com/sg/rooms/singapore/78233/red-panda/red-panda-studio-ab,46023,Red Panda,Whole venue,Photo / Film Studio,https://www.tagvenue.com/sg/venues/singapore/46023/red-panda
