address,area,capacity_seated,capacity_standing,event_types,fast_response,lat,lng,mrt_station,name,price,price_unit,rating,response_time,reviews,rooms_count,slug,url
"8 Club St, #01-04, Singapore 069472","Chinatown, Raffles Place, Telok Ayer",120,200,"[""Business Luncheon"", ""Business Dinner""]",False,1.2829829,103.8468773,"Telok Ayer Station, Raffles Place (EW14/NS26), Chinatown (DT19/NE4)",La Table d’Emma ,"S$6,000",Per full-day,0,,0,3,la-table-d-emma,https://www.venuerific.com/sg/venues/la-table-d-emma
"252 N Bridge Rd, #03-00 Fairmont Singapore, Singapore 179103","City Hall, Esplanade, Raffles Place",220,400,"[""Product Launch"", ""Wedding""]",True,1.2942831,103.8529487,City Hall MRT Station,DOMO,S$80,Per hour,0,20 hrs,0,4,domo,https://www.venuerific.com/sg/venues/domo
"1 Nanson Road, Robertson Quay, #02-01 InterContinental Singapore, Singapore 238909","Clarke Quay, River Valley",100,100,"[""Business Dinner"", ""Birthday"", ""Wedding""]",False,1.2898797,103.8385339,Fort Canning MRT Station / Havelock MRT Station,Wolfgang’s Steakhouse Singapore,S$800,Min spend,0,,0,4,wolfgang-s-steakhouse-singapore,https://www.venuerific.com/sg/venues/wolfgang-s-steakhouse-singapore
"20 Jln Kilang, level 4, Singapore 159418","Alexandra, Queenstown, Tiong Bahru",100,200,[],True,1.2858102,103.8087208,Redhill ,Industrial-Chic Event Venue at 20 Jln Kilang,S$500,Min spend,0,1 hr,0,1,industrial-chic-event-venue-at-20-jln-kilang,https://www.venuerific.com/sg/venues/industrial-chic-event-venue-at-20-jln-kilang
"Sam Leong Rd, #04-01 11 TRIO, Singapore 207903","Farrer Park, Jalan Besar, Little India",140,250,"[""Product Launch"", ""Training""]",True,1.3094051,103.8568364,🚆 Farrer Park MRT Station (NE8)  🚆 Jalan Besar MRT Station (DT22),The Inspire Space Sg,S$80,Per hour,5.0,22 mins,4,5,the-inspire-space-sg,https://www.venuerific.com/sg/venues/the-inspire-space-sg
"70 Anson Rd, #27-01 Hub Synergy Point, Singapore 079905","Keppel Bay, Marina Bay, Tanjong Pagar",98,151,"[""Business Dinner"", ""Office Party"", ""Party""]",True,1.2739236,103.8444671,Tanjong Pagar MRT Station,Moon Rooftop Bar and Lounge,"S$2,000",Min spend,5.0,8 hrs,1,0,moon-rooftop-bar-and-lounge,https://www.venuerific.com/sg/venues/moon-rooftop-bar-and-lounge
"2 Bukit Manis Rd, Lower Lobby of Sofitel Singapore Sentosa, Singapore 099891",Sentosa,100,150,"[""Business Dinner"", ""Birthday"", ""Wedding""]",False,1.2456916,103.8278754,HarbourFront MRT Station,Maduro,"S$2,000",Min spend,0,,0,5,maduro,https://www.venuerific.com/sg/venues/maduro
"593A Serangoon Rd, #02-00, Singapore 218207",Jalan Besar,100,160,"[""Party"", ""Wedding""]",True,1.316086,103.8584939,Farrer Park MRT Station / Boon Keng MRT Station,HAPPEN,S$788,Min spend,4.8,18 hrs,6,3,happen,https://www.venuerific.com/sg/venues/happen
"900 Bedok North Rd, Singapore 479994",Bedok,380,380,"[""Conference"", ""Team Bonding""]",True,1.3409594,103.9195417,Bedok North MRT Station (DT29),HomeTeamNS Bedok Reservoir Clubhouse,S$478,Min spend,0,7 hrs,0,6,hometeamns-bedok-reservoir-clubhouse,https://www.venuerific.com/sg/venues/hometeamns-bedok-reservoir-clubhouse
"366 Orchard Road Level 10, YOTEL, Singapore 238904",Orchard,100,180,"[""Business Luncheon"", ""Business Dinner"", ""Media Event""]",True,1.306439,103.8312631,Orchard MRT Station,KOMYUNITI Bar & Restaurant,S$800,Per full-day,4.9,15 hrs,9,3,komyuniti-bar-restaurant,https://www.venuerific.com/sg/venues/komyuniti-bar-restaurant
