name,slug,url,vendor_id,pdf_count,pdf_filenames,room_name,room_types,room_id,day,menu,capacity_min,capacity_max,price
1-Alfaro,1-alfaro,https://wedded.sg/venues/1-alfaro,019ba4e0-67ad-76db-a02c-7aa760cd89c3,1,1 Alfaro Year End Promo 2026.pdf,1-Alfaro,"Event Venue, Garden & Greenery, Glasshouse, Indoor, Outdoor, Rooftop",d1f4fd67-1b31-4719-8ea5-0790b873d484,Saturday,Wedding Banquet (Italian menu),108,120,"$16,200++"
1-Alfaro,1-alfaro,https://wedded.sg/venues/1-alfaro,019ba4e0-67ad-76db-a02c-7aa760cd89c3,1,1 Alfaro Year End Promo 2026.pdf,1-Alfaro,"Event Venue, Garden & Greenery, Glasshouse, Indoor, Outdoor, Rooftop",d1f4fd67-1b31-4719-8ea5-0790b873d484,Sunday,Wedding Banquet (Italian menu),108,120,"$16,200++"
1-Altitude Coast,1-altitude-coast,https://wedded.sg/venues/1-altitude-coast,019b888d-ff43-7ef5-9ff6-82ec188056b2,1,1 Altitude Coast year end promo 2026.pdf,1-Altitude Coast,"Garden & Greenery, Outdoor, Restaurant, Rooftop",,Saturday,Wedding Banquet (Italian menu),80,170,"$12,960++"
1-Altitude Coast,1-altitude-coast,https://wedded.sg/venues/1-altitude-coast,019b888d-ff43-7ef5-9ff6-82ec188056b2,1,1 Altitude Coast year end promo 2026.pdf,1-Altitude Coast,"Garden & Greenery, Outdoor, Restaurant, Rooftop",,Sunday,Wedding Banquet (Italian menu),80,170,"$12,960++"
1-Arden,1-arden,https://wedded.sg/venues/1-arden,019b2db3-ceb0-7952-a6a0-a54678ea0984,0,,Karla & Oumi Restaurant,"Garden & Greenery, Indoor, Outdoor, Restaurant, Rooftop",,Saturday,4-course Australian or Asian menu,118,178,"$19,500++"
1-Arden,1-arden,https://wedded.sg/venues/1-arden,019b2db3-ceb0-7952-a6a0-a54678ea0984,0,,Karla & Oumi Restaurant,"Garden & Greenery, Indoor, Outdoor, Restaurant, Rooftop",,Sunday,4-course Australian or Asian menu,118,178,"$19,500++"
1-Atico,1-atico,https://wedded.sg/venues/1-atico,019b1833-c9fb-7adc-a732-35775759c998,1,1 Atico 2025 Packages.pdf,1-Atico,"Glasshouse, Indoor, Restaurant, Rooftop",,Saturday,4-Course Lunch Menu,140,242,"$25,500++"
1-Atico,1-atico,https://wedded.sg/venues/1-atico,019b1833-c9fb-7adc-a732-35775759c998,1,1 Atico 2025 Packages.pdf,1-Atico,"Glasshouse, Indoor, Restaurant, Rooftop",,Sunday,4-Course Lunch Menu,140,242,"$25,500++"
1-Flowerhill,1-flowerhill,https://wedded.sg/venues/1-flowerhill,019b2d3f-88a4-7c5c-8d65-7a206c1f2e7e,3,Wedding Kit.pdf | Entire Venue Package.pdf | Camille Package.pdf,Camille Restaurant,"Colonial/Historical, Garden & Greenery, Glasshouse, Indoor, Restaurant",e37704fb-96b9-4099-b3bf-bb754037d071,Saturday,French-Japanese Fusion Set Menu,80,120,"$12,400++"
1-Flowerhill,1-flowerhill,https://wedded.sg/venues/1-flowerhill,019b2d3f-88a4-7c5c-8d65-7a206c1f2e7e,3,Wedding Kit.pdf | Entire Venue Package.pdf | Camille Package.pdf,Camille Restaurant,"Colonial/Historical, Garden & Greenery, Glasshouse, Indoor, Restaurant",e37704fb-96b9-4099-b3bf-bb754037d071,Sunday,French-Japanese Fusion Set Menu,80,120,"$12,400++"
