_id,name,slug,category,state,city,address,venue_minCapacity,venue_maxCapacity,venue_minPrice,venue_maxPrice,venue_indoorOutdoor
650d6f3ef70c5862f2ada9b9,Sentul Pavilion KL,sentul-pavilion-kl,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"Jalan Strachan, Sentul West, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",1,300,15000,45000,Covered_Outdoor_Only
65111b32f70c5862f2adea61,Epitro House,epitro-house,venues,Selangor,Petaling Jaya,"19, Jln 14/29, Seksyen 14, 46100 Petaling Jaya, Selangor, Malaysia",1,50,1200,1200,Indoor_Only
657819bfb413f3c2bcdab51c,Grand Hyatt Kuala Lumpur,grand-hyatt-kuala-lumpur,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"12, Jalan Pinang, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",200,700,3930,4489,Indoor_Only
657917bab413f3c2bcdacc5e,The Majestic Hotel Kuala Lumpur,the-majestic-hotel-kuala-lumpur,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"5, Jalan Sultan Hishamuddin, Tasik Perdana, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50,1500,250,3580,Indoor_Only
659583d1b413f3c2bcdb2206,Hilton Kuala Lumpur,hilton-kuala-lumpur,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"3, Jalan Stesen Sentral, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",10,1100,1980,4288,Indoor_Only
6596ae6fb413f3c2bcdb43bc,The Saujana Hotel Kuala Lumpur,the-saujana-hotel-kuala-lumpur,venues,Selangor,Shah Alam,"Jalan Lapangan Terbang Subang, Saujana, 40150 Shah Alam, Selangor, Malaysia",120,300,2270,2380,Indoor_Only
659777f5b413f3c2bcdb5928,Pavilion Hotel Kuala Lumpur,pavilion-hotel-kuala-lumpur,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"168, Jln Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",10,300,3888,4288,Indoor_Only
659d1225b413f3c2bcdb9243,The St. Regis Kuala Lumpur,the-st.-regis-kuala-lumpur,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"6, Jalan Stesen Sentral 2, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50,1060,400,498,Indoor___Outdoor
659d3df0b413f3c2bcdbacfc,Le Meridien Kuala Lumpur,le-meridien-kuala-lumpur,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"2, Jalan Stesen Sentral, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",80,300,369,439,Covered_Outdoor_Only
659d4967b413f3c2bcdbc5ef,JW Marriott Hotel Kuala Lumpur,jw-marriott-hotel-kuala-lumpur,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"183, Jln Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",150,700,2888,3288,Indoor_Only
65a13bbe8afc3f3cbf457165,The Ruma Hotel and Residences,the-ruma-hotel-and-residences,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"7, Jalan Kia Peng, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",70,90,428,528,Covered_Outdoor_Only
65a144408afc3f3cbf459fea,Sime Darby Convention Centre,sime-darby-convention-centre,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"1, Jalan Bukit Kiara 1, Bukit Kiara, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50,1500,1750,60000,Indoor_Only
65a14bb18afc3f3cbf45cd52,EQ Kuala Lumpur,eq-kuala-lumpur,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"EQ, Equatorial Plaza, Jln Sultan Ismail, Kuala Lumpur, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",100,450,3899,4699,Indoor_Only
65ae69ea8afc3f3cbf465fb2,Sheraton Petaling Jaya Hotel,sheraton-petaling-jaya-hotel,venues,Selangor,Petaling Jaya,"Lorong Utara C, Pjs 52, 46200 Petaling Jaya, Selangor, Malaysia",200,750,2988,2988,Indoor_Only
65ae6f7c8afc3f3cbf469003,Sunway Resort Hotel,sunway-resort-hotel,venues,Selangor,Petaling Jaya,"1, Persiaran Lagoon, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia",100,1800,,,Indoor_Only
65dd8eb839b90954d9bb0458,Metal Bees,metal-bees,venues,Selangor,Petaling Jaya,"6, Jalan PJU 3/45, Sunway Damansara, 47810 Petaling Jaya, Selangor, Malaysia",0,300,25000,25000,Indoor_Only
67d247dc756e2c36f5412b24,W Kuala Lumpur,w-kuala-lumpur,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"121, Jln Ampang, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",20,500,458,8888,Indoor___Outdoor
67d78cc73ffd1a7da2a35e8e,Four Seasons Hotel Kuala Lumpur,four-seasons-hotel-kuala-lumpur,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"145, Jln Ampang, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",100,400,468,538,Indoor_Only
67d799a93ffd1a7da2a3b190,Crystal Crown Hotel PJ,crystal-crown-hotel-pj,venues,Selangor,Petaling Jaya,"12, Lorong Utara A, Off, Jln Utara, Pjs 52, 46200 Petaling Jaya, Selangor, Malaysia",50,550,2088,2298,Indoor_Only
67d7a23a3ffd1a7da2a3eca9,Shangri-La Kuala Lumpur,shangri-la-kuala-lumpur,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"11, Jln Sultan Ismail, Kuala Lumpur, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50,1800,3888.8,5000,Indoor_Only
67d7a8703ffd1a7da2a4205b,The Estate KL,the-estate-kl,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"333, Jln Damansara, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",20,100,0,0,Indoor_Only
67d7bd3a3ffd1a7da2a48794,The Chow Kit – An Ormond Hotel,the-chow-kit-–-an-ormond-hotel,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"1012, Jln Sultan Ismail, Chow Kit, 50100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",40,100,25000,25000,Indoor_Only
67d7c53c3ffd1a7da2a4de19,M Resort & Hotel,m-resort-&-hotel,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"Jln Damansara, Bukit Kiara, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",300,1000,288,288,Covered_Outdoor_Only
67d7cae23ffd1a7da2a4fd7e,Aloft Kuala Lumpur Sentral,aloft-kuala-lumpur-sentral,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"5, Jalan Stesen Sentral, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",100,1000,,,Covered_Outdoor_Only
